pub_date; title; venue; excerpt; citation; url_slug; paper_url
2010; On nilpotence indices of sign patterns; Commun. Korean Math. Soc.; This paper is about the number 1. The number 2 is left for future work.; Your Name, You. (2009). "On nilpotence indices of sign patterns." <i>Journal 1</i>. 1(1).; on-nilpotence-indices-of-sign-patterns; http://academicpages.github.io/files/paper1.pdf
2011; Constructions of potentially eventually positive sign patterns with reducible positive part; Involve; This paper is about the number 1. The number 2 is left for future work.; Your Name, You. (2009). "Constructions of potentially eventually positive sign patterns with reducible positive part." <i>Journal 1</i>. 1(1).; constructions-of-potentially-eventually-positive-sign-patterns-with-reducible-positive-part; http://academicpages.github.io/files/paper1.pdf
2012; Sign patterns that allow strong eventual nonnegativity; Electron. J. Linear Algebra; This paper is about the number 1. The number 2 is left for future work.; Your Name, You. (2009). "Sign patterns that allow strong eventual nonnegativity." <i>Journal 1</i>. 1(1).; sign-patterns-that-allow-strong-eventual-nonnegativity; http://academicpages.github.io/files/paper1.pdf
2012; Note on positive semidefinite maximum nullity and positive semidefinite zero forcing number of partial 2-trees; Electron. J. Linear Algebra; This paper is about the number 1. The number 2 is left for future work.; Your Name, You. (2009). "Note on positive semidefinite maximum nullity and positive semidefinite zero forcing number of partial 2-trees." <i>Journal 1</i>. 1(1).; note-on-positive-semidefinite-maximum-nullity-and-positive-semidefinite-zero-forcing-number-of-partial-2-trees; http://academicpages.github.io/files/paper1.pdf
2013; Positive semidefinite zero forcing; Linear Algebra Appl.; This paper is about the number 1. The number 2 is left for future work.; Your Name, You. (2009). "Positive semidefinite zero forcing." <i>Journal 1</i>. 1(1).; positive-semidefinite-zero-forcing; http://academicpages.github.io/files/paper1.pdf
2013; Potentially eventually exponentially positive sign patterns; Involve; This paper is about the number 1. The number 2 is left for future work.; Your Name, You. (2009). "Potentially eventually exponentially positive sign patterns." <i>Journal 1</i>. 1(1).; potentially-eventually-exponentially-positive-sign-patterns; http://academicpages.github.io/files/paper1.pdf
2015; Sign patterns that require eventual exponential nonnegativity; Electron. J. Linear Algebra; This paper is about the number 1. The number 2 is left for future work.; Your Name, You. (2009). "Sign patterns that require eventual exponential nonnegativity." <i>Journal 1</i>. 1(1).; sign-patterns-that-require-eventual-exponential-nonnegativity; http://academicpages.github.io/files/paper1.pdf
2016; Rainbow arithmetic progressions; J. Comb.; This paper is about the number 1. The number 2 is left for future work.; Your Name, You. (2009). "Rainbow arithmetic progressions." <i>Journal 1</i>. 1(1).; rainbow-arithmetic-progressions; http://academicpages.github.io/files/paper1.pdf
2019; Note on restricted power domination and zero forcing problems; J. Comb. Optim.; This paper is about the number 1. The number 2 is left for future work.; Your Name, You. (2009). "Note on restricted power domination and zero forcing problems." <i>Journal 1</i>. 1(1).; note-on-restricted-power-domination-and-zero-forcing-problems; http://academicpages.github.io/files/paper1.pdf
2020; Properties of a <i>q</i>-analogue for zero forcing; Graphs Combin.; This paper is about the number 1. The number 2 is left for future work.; Your Name, You. (2009). "Properties of a <i>q</i>-analogue for zero forcing." <i>Journal 1</i>. 1(1).; properties-of-a-q-analogue-for-zero-forcing; http://academicpages.github.io/files/paper1.pdf